,選手名,球団,一軍,防御率,勝,負,S,奪三振,試合数,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,失点,自責点,完投,完封,無四球,被打率,QS率,援護点,援護率,WHIP,UP打数,UP被安打,UP被打率,UP被本塁打,最高球速,最低球速,球速差,year,get_out
333,ソーサ,Ｄ,,4.94,0,3,3,14,27,232/3,5.32,462,118,35,2,14,1,1,15,13,0,0,0,.354,0.00%,0,0.00,2.03,69,22,.319,2,152,120,32,2014,71.0
334,須田幸太,Ｄ,,5.02,0,1,0,14,9,141/3,8.79,257,64,20,2,2,0,0,12,8,0,0,0,.328,0.00%,1,3.00,1.53,9,3,.333,1,147,110,37,2014,43.0
335,尚成,Ｄ,,5.29,0,6,0,33,10,51,5.82,916,230,65,14,21,1,0,33,30,0,0,0,.322,30.00%,15,2.41,1.69,79,29,.367,5,144,97,47,2014,153.0
336,加賀美希昇,Ｄ,,5.40,0,3,0,18,5,212/3,7.48,372,99,27,4,9,1,0,13,13,0,0,0,.314,20.00%,4,1.64,1.66,42,15,.357,3,144,96,48,2014,65.0
337,土屋健二,Ｄ,,5.40,0,1,0,3,7,62/3,4.05,142,35,11,0,3,1,0,7,4,0,0,0,.393,0.00%,0,0.00,2.10,4,3,.750,0,143,100,43,2014,20.0
338,安部建輝,Ｄ,○,5.79,0,0,0,6,4,42/3,11.57,90,23,5,2,4,0,0,3,3,0,0,0,.278,0.00%,0,0.00,1.93,0,0,.000,0,144,110,34,2014,14.0
339,小林太志,Ｄ,,6.00,0,1,0,2,2,3,6.00,39,12,4,1,0,0,0,2,2,0,0,0,.333,0.00%,0,0.00,1.33,3,2,.667,1,145,127,18,2014,9.0
340,三嶋一輝,Ｄ,,10.87,1,2,0,24,8,24,9.00,517,126,41,5,14,1,0,30,29,0,0,0,.383,0.00%,14,5.25,2.29,39,15,.385,1,150,102,48,2014,72.0
341,陳冠宇,Ｄ,,11.57,0,0,0,3,1,21/3,11.57,54,14,5,2,2,0,0,4,3,0,0,0,.455,0.00%,0,0.00,3.00,3,1,.333,1,144,114,30,2014,7.0
342,菊地和正,Ｄ,,27.00,0,1,0,0,2,01/3,0.00,2,2,1,1,0,0,0,1,1,0,0,0,.500,0.00%,0,0.00,3.00,1,1,1.000,1,125,123,2,2014,1.0
343,三上朋也,Ｄ,○,0.81,1,1,0,20,21,221/3,8.06,365,93,16,0,9,1,0,3,2,0,0,0,.200,0.00%,0,0.00,1.12,37,8,.216,0,148,119,29,2015,67.0
344,萬谷康平,Ｄ,,1.50,1,0,0,4,4,6,6.00,102,26,6,0,2,0,0,2,1,0,0,0,.273,0.00%,0,0.00,1.33,2,0,.000,0,142,108,34,2015,18.0
345,山﨑康晃,Ｄ,○,1.92,2,4,37,66,58,561/3,10.54,866,215,38,2,11,1,0,13,12,0,0,0,.190,0.00%,0,0.00,0.87,122,22,.180,1,152,118,34,2015,169.0
346,長田秀一郎,Ｄ,○,2.06,4,1,0,18,45,391/3,4.12,662,167,36,1,19,0,2,13,9,0,0,0,.252,0.00%,0,0.00,1.35,29,11,.379,0,147,114,33,2015,118.0
347,田中健二朗,Ｄ,,2.20,2,2,1,29,35,322/3,7.99,616,140,29,1,16,0,0,9,8,0,0,0,.244,0.00%,0,0.00,1.38,61,16,.262,1,146,98,48,2015,98.0
348,国吉佑樹,Ｄ,,2.43,3,2,1,28,28,331/3,7.56,522,138,22,1,16,3,0,10,9,0,0,0,.196,0.00%,0,0.00,1.14,23,7,.304,0,153,108,45,2015,100.0
349,福地元春,Ｄ,,2.87,0,0,0,16,13,152/3,9.19,311,74,16,0,12,0,0,9,5,0,0,0,.262,0.00%,0,0.00,1.79,1,1,1.000,0,151,108,43,2015,47.0
350,石田健大,Ｄ,○,2.89,2,6,0,58,12,712/3,7.28,1213,300,67,6,26,1,0,23,23,0,0,0,.252,54.55%,13,1.70,1.30,146,40,.274,3,146,98,48,2015,215.0
351,安部建輝,Ｄ,,2.89,0,1,0,6,5,91/3,5.79,142,38,6,1,6,0,0,3,3,0,0,0,.200,0.00%,0,0.00,1.29,3,1,.333,0,144,118,26,2015,28.0
352,エレラ,Ｄ,,2.96,5,4,0,53,52,512/3,9.23,822,211,44,2,15,2,2,17,17,0,0,0,.233,0.00%,0,0.00,1.10,99,23,.232,1,153,119,34,2015,155.0
353,砂田毅樹,Ｄ,,3.20,3,5,0,57,14,76,6.75,1253,335,85,5,28,2,0,34,27,0,0,0,.289,21.43%,36,3.95,1.49,188,52,.277,4,144,97,47,2015,228.0
354,井納翔一,Ｄ,○,3.27,5,8,0,92,21,1342/3,6.15,2229,598,164,13,40,3,0,56,49,3,0,1,.309,75.00%,52,3.34,1.51,269,76,.283,7,152,111,41,2015,404.0
355,平田真吾,Ｄ,,3.38,0,2,0,27,28,32,7.59,557,140,29,2,14,1,0,12,12,0,0,0,.234,0.00%,0,0.00,1.34,25,9,.360,2,148,103,45,2015,96.0
356,小林寛,Ｄ,○,3.77,0,0,0,11,11,141/3,6.91,247,64,13,0,10,0,1,6,6,0,0,0,.241,0.00%,0,0.00,1.53,2,0,.000,0,148,104,44,2015,43.0
357,須田幸太,Ｄ,○,3.86,3,2,1,42,29,56,6.75,969,241,59,10,23,0,1,26,24,0,0,0,.282,60.00%,12,3.72,1.45,74,20,.270,3,146,108,38,2015,168.0
358,大原慎司,Ｄ,○,4.02,0,1,0,13,21,152/3,7.47,242,65,16,3,2,1,0,7,7,0,0,0,.267,0.00%,0,0.00,1.15,17,5,.294,0,143,117,26,2015,47.0
359,久保康友,Ｄ,,4.12,8,7,0,88,21,1221/3,6.47,1963,523,130,16,27,5,0,64,56,2,1,1,.269,52.38%,46,3.16,1.28,245,68,.278,7,150,83,67,2015,367.0
360,三浦大輔,Ｄ,○,4.13,6,6,0,62,17,98,5.69,1664,416,103,9,25,1,0,47,45,0,0,0,.269,64.71%,50,4.21,1.31,231,61,.264,6,144,91,53,2015,294.0
361,小杉陽太,Ｄ,,4.33,3,3,0,27,27,351/3,6.88,635,164,37,3,20,1,0,21,17,0,0,0,.264,0.00%,0,0.00,1.61,37,9,.243,0,149,100,49,2015,106.0
362,山口俊,Ｄ,,4.49,3,6,0,119,20,1141/3,9.37,2011,508,127,13,42,3,0,67,57,2,0,0,.282,40.00%,56,4.06,1.48,232,63,.272,7,152,110,42,2015,343.0
363,三嶋一輝,Ｄ,,4.81,5,5,0,67,20,88,6.85,1596,384,84,9,34,3,0,52,47,0,0,0,.252,57.14%,32,3.24,1.34,188,49,.261,3,150,111,39,2015,264.0
364,高崎健太郎,Ｄ,,4.98,2,3,0,19,7,341/3,4.98,612,149,46,1,10,0,0,19,19,0,0,0,.354,28.57%,11,2.83,1.63,85,33,.388,0,149,106,43,2015,103.0
365,モスコーソ,Ｄ,,5.19,3,6,0,54,15,602/3,8.01,1076,267,62,8,27,1,1,36,35,0,0,0,.267,45.45%,33,4.95,1.45,108,30,.278,3,148,113,35,2015,182.0
366,東野峻,Ｄ,,6.75,0,0,0,0,3,4,0.00,88,20,4,0,4,0,0,3,3,0,0,0,.308,0.00%,0,0.00,2.00,0,0,.000,0,144,120,24,2015,12.0
367,林昌範,Ｄ,,7.23,1,1,0,10,24,182/3,4.82,350,89,26,1,6,0,1,15,15,0,0,0,.321,0.00%,0,0.00,1.66,10,2,.200,0,141,120,21,2015,56.0
368,加賀繁,Ｄ,,7.88,0,0,0,6,9,8,6.75,128,37,11,2,3,0,0,7,7,0,0,0,.333,0.00%,0,0.00,1.75,11,4,.364,0,140,118,22,2015,24.0
369,岡島秀樹,Ｄ,○,8.59,0,2,0,7,10,71/3,8.59,137,35,6,1,8,0,0,7,7,0,0,0,.240,0.00%,0,0.00,1.91,10,4,.400,1,141,119,22,2015,22.0
370,髙橋尚成,Ｄ,,8.64,0,1,0,4,6,81/3,4.32,177,45,14,3,4,0,0,12,8,0,0,0,.368,0.00%,0,0.00,2.16,4,2,.500,0,145,103,42,2015,25.0
371,ビロウ,Ｄ,,33.75,0,1,0,0,1,11/3,0.00,44,11,2,0,5,0,0,5,5,0,0,0,.333,0.00%,0,0.00,5.25,1,0,.000,0,142,119,23,2015,4.0
372,藤岡好明,Ｄ,,1.13,0,1,0,3,9,8,3.38,123,31,7,0,2,0,0,2,1,0,0,0,.250,0.00%,0,0.00,1.13,9,1,.111,0,146,116,30,2016,24.0
373,田中健二朗,Ｄ,○,2.45,5,3,0,39,61,44,7.98,805,197,46,2,18,1,3,16,12,0,0,0,.261,0.00%,0,0.00,1.39,75,22,.293,1,149,100,49,2016,132.0
374,野川拓斗,Ｄ,,2.57,0,0,0,7,6,7,9.00,132,34,7,0,6,1,0,6,2,0,0,0,.280,0.00%,0,0.00,1.86,0,0,.000,0,150,119,31,2016,21.0
375,三上朋也,Ｄ,○,2.61,2,4,2,36,59,582/3,5.52,939,241,47,7,18,2,2,21,17,0,0,0,.218,0.00%,0,0.00,1.07,94,20,.213,3,149,117,32,2016,176.0
376,須田幸太,Ｄ,,2.68,5,3,0,49,62,532/3,8.22,930,233,54,2,18,1,2,17,16,0,0,0,.256,0.00%,0,0.00,1.30,86,19,.221,0,150,114,36,2016,161.0
377,山口俊,Ｄ,,2.86,11,5,0,121,19,1382/3,7.85,2199,570,112,10,44,4,0,48,44,5,3,0,.218,63.16%,79,4.84,1.13,240,50,.208,3,156,110,46,2016,416.0
378,今永昇太,Ｄ,○,2.93,8,9,0,136,22,1351/3,9.04,2188,541,108,16,38,2,1,47,44,0,0,0,.222,72.73%,49,3.06,1.07,284,65,.229,10,148,98,50,2016,406.0
379,石田健大,Ｄ,,3.12,9,4,0,132,25,153,7.76,2440,608,128,21,36,1,1,53,53,0,0,0,.229,60.00%,80,4.44,1.07,307,70,.228,10,151,96,55,2016,459.0
380,井納翔一,Ｄ,,3.50,7,11,0,113,23,1512/3,6.71,2462,654,156,14,47,6,2,65,59,2,1,0,.268,52.17%,59,3.32,1.33,290,67,.231,6,150,109,41,2016,455.0
381,久保康友,Ｄ,,3.55,5,8,0,80,15,961/3,7.47,1543,419,102,5,28,3,4,44,38,1,1,1,.271,60.00%,32,2.85,1.31,191,49,.257,3,147,98,49,2016,289.0
382,山﨑康晃,Ｄ,○,3.59,2,5,33,61,59,572/3,9.52,904,252,57,7,23,0,0,27,23,0,0,0,.259,0.00%,0,0.00,1.39,133,30,.226,3,151,121,30,2016,173.0
383,小杉陽太,Ｄ,○,3.71,0,0,0,19,20,262/3,6.41,424,112,26,3,10,1,2,12,11,0,0,0,.265,0.00%,0,0.00,1.28,5,2,.400,0,149,109,40,2016,80.0
384,三嶋一輝,Ｄ,,3.75,1,1,0,15,4,24,5.63,378,102,24,5,8,0,0,13,10,0,0,0,.258,50.00%,14,5.04,1.33,37,12,.324,3,149,117,32,2016,72.0
385,砂田毅樹,Ｄ,○,3.78,2,2,0,34,17,521/3,5.85,895,237,64,5,18,2,1,26,22,0,0,0,.298,25.00%,17,3.56,1.55,107,33,.308,4,145,101,44,2016,157.0
386,ブロードウェイ,Ｄ,,4.50,0,0,0,3,5,6,4.50,104,29,7,3,2,0,0,7,3,0,0,0,.292,0.00%,0,0.00,1.50,0,0,.000,0,154,129,25,2016,18.0
387,ザガースキー,Ｄ,○,4.96,3,1,0,34,32,322/3,9.37,630,151,37,3,19,0,0,19,18,0,0,0,.282,0.00%,0,0.00,1.71,20,4,.200,0,152,121,31,2016,98.0
388,熊原健人,Ｄ,,4.97,1,1,0,25,18,29,7.76,514,131,31,0,15,1,0,18,16,0,0,0,.279,0.00%,6,3.60,1.59,21,7,.333,0,152,118,34,2016,87.0
389,大原慎司,Ｄ,,4.97,0,0,0,14,16,122/3,9.95,243,59,15,4,6,2,1,7,7,0,0,0,.300,0.00%,0,0.00,1.58,3,1,.333,0,143,112,31,2016,38.0
390,モスコーソ,Ｄ,,5.18,5,7,0,65,13,80,7.31,1357,342,88,15,19,0,1,47,46,1,0,0,.280,53.85%,40,4.29,1.33,117,36,.308,6,149,101,48,2016,240.0
391,久保裕也,Ｄ,,5.25,0,0,0,8,9,12,6.00,197,51,10,1,7,1,0,7,7,0,0,0,.233,0.00%,0,0.00,1.42,3,1,.333,1,143,119,24,2016,36.0
392,加賀繁,Ｄ,○,5.40,0,0,0,17,26,162/3,9.18,316,75,19,2,6,1,0,10,10,0,0,0,.279,0.00%,0,0.00,1.50,10,3,.300,1,139,112,27,2016,50.0
393,ペトリック,Ｄ,,5.51,3,2,0,22,15,471/3,4.18,814,199,48,10,12,0,0,31,29,0,0,0,.257,28.57%,20,4.50,1.27,102,24,.235,4,149,114,35,2016,142.0
394,長田秀一郎,Ｄ,,9.00,0,0,0,3,6,4,6.75,82,24,8,0,3,1,0,4,4,0,0,0,.444,0.00%,0,0.00,2.75,2,2,1.000,0,144,117,27,2016,12.0
395,三浦大輔,Ｄ,,11.05,0,3,0,14,3,142/3,8.59,293,75,29,3,4,0,0,18,18,0,0,0,.414,0.00%,9,5.40,2.25,17,11,.647,2,139,88,51,2016,44.0
396,福地元春,Ｄ,,12.15,0,1,0,5,6,62/3,6.75,161,36,11,2,6,0,2,9,9,0,0,0,.367,0.00%,0,0.00,2.25,4,2,.500,0,148,106,42,2016,20.0
397,平田真吾,Ｄ,,21.60,0,0,0,2,4,31/3,5.40,84,21,7,2,3,1,0,9,8,0,0,0,.500,0.00%,0,0.00,3.00,4,2,.500,0,146,103,43,2016,10.0
398,国吉佑樹,Ｄ,,21.60,0,0,0,2,1,12/3,10.80,56,12,4,0,3,0,0,4,4,0,0,0,.444,0.00%,4,18.00,4.20,4,3,.750,0,149,127,22,2016,5.0
399,小林寛,Ｄ,,27.00,0,0,0,0,1,01/3,0.00,4,2,1,1,0,0,0,1,1,0,0,0,.500,0.00%,0,0.00,3.00,1,1,1.000,1,142,142,0,2016,1.0
400,三瀬幸司,中,,0.00,0,0,0,5,2,3,15.00,41,12,3,0,0,0,0,0,0,0,0,0,.250,0.00%,0,0.00,1.00,7,1,.143,0,143,126,17,2012,9.0
401,伊藤準規,中,,0.93,1,0,0,3,2,92/3,2.79,143,35,3,0,5,0,0,1,1,0,0,0,.103,50.00%,3,2.70,0.83,27,3,.111,0,152,109,43,2012,29.0
402,田島慎二,中,○,1.15,5,3,0,56,56,702/3,7.13,1015,274,50,1,17,3,0,10,9,0,0,0,.202,0.00%,0,0.00,0.95,133,22,.165,0,153,95,58,2012,212.0
403,西川健太郎,中,,1.29,0,0,0,4,3,7,5.14,89,24,1,1,2,0,0,1,1,0,0,0,.045,0.00%,2,3.00,0.43,15,0,.000,0,143,113,30,2012,21.0
404,小林正,中,○,1.31,2,0,0,17,41,202/3,7.40,342,89,16,1,5,3,1,3,3,0,0,0,.208,0.00%,0,0.00,0.97,22,4,.182,0,134,113,21,2012,62.0
405,山井大介,中,○,1.43,4,3,15,80,56,101,7.13,1471,385,71,3,23,2,1,20,16,0,0,0,.204,60.00%,3,0.87,0.92,184,38,.207,1,149,98,51,2012,303.0
406,浅尾拓也,中,○,1.50,1,0,1,29,29,30,8.70,416,120,21,0,9,0,0,6,5,0,0,0,.198,0.00%,0,0.00,1.00,51,15,.294,0,151,122,29,2012,90.0
407,吉見一起,中,,1.75,13,4,0,76,19,1382/3,4.93,1921,529,121,5,13,0,0,28,27,6,2,3,.240,84.21%,60,3.67,0.97,256,61,.238,4,147,106,41,2012,416.0
408,ソーサ,中,○,1.85,5,1,4,50,53,631/3,7.11,940,260,54,1,19,1,4,17,13,0,0,0,.240,0.00%,0,0.00,1.09,126,25,.198,0,155,123,32,2012,190.0
409,矢地健人,中,,2.16,0,0,0,7,5,81/3,7.56,108,33,5,1,2,0,0,3,2,0,0,0,.179,0.00%,0,0.00,0.84,2,0,.000,0,147,124,23,2012,25.0
410,ソト,中,,2.17,4,1,0,48,18,621/3,6.93,967,246,45,3,21,1,1,16,15,0,0,0,.207,44.44%,18,2.95,1.04,142,27,.190,1,149,118,31,2012,187.0
411,岩瀬仁紀,中,○,2.29,1,3,33,30,54,51,5.29,781,207,44,3,13,2,3,15,13,0,0,0,.237,0.00%,0,0.00,1.06,104,25,.240,1,145,117,28,2012,153.0
412,山内壮馬,中,,2.43,10,7,0,68,24,148,4.14,2181,589,128,8,32,4,1,42,40,0,0,0,.245,75.00%,46,2.60,1.07,331,79,.239,3,143,103,40,2012,444.0
413,大野雄大,中,○,2.62,4,3,0,41,9,442/3,8.26,785,188,40,1,14,3,1,15,13,0,0,0,.240,37.50%,14,2.74,1.19,132,30,.227,1,150,109,41,2012,134.0
414,岩田慎司,中,,2.74,5,5,0,84,20,1081/3,6.98,1664,438,87,11,26,7,0,36,33,0,0,0,.227,52.63%,34,2.59,1.04,259,59,.228,6,144,93,51,2012,325.0
415,川上憲伸,中,○,2.83,3,1,0,17,7,282/3,5.34,494,121,25,3,10,2,0,10,9,0,0,0,.234,33.33%,13,4.03,1.22,52,10,.192,1,146,101,45,2012,86.0
416,中田賢一,中,○,2.83,7,10,0,106,22,140,6.81,2158,562,119,6,33,9,2,46,44,2,0,1,.240,68.18%,55,3.30,1.07,224,59,.263,2,150,95,55,2012,420.0
417,山本昌,中,○,2.94,3,2,0,40,13,671/3,5.35,1003,264,52,4,19,2,2,22,22,0,0,0,.224,41.67%,13,1.67,1.02,158,38,.241,3,139,100,39,2012,202.0
418,武藤祐太,中,○,3.02,4,0,0,31,33,412/3,6.70,641,167,33,1,10,1,2,15,14,0,0,0,.219,0.00%,0,0.00,0.98,31,8,.258,0,150,121,29,2012,125.0
419,雄太,中,,4.31,3,5,0,26,14,541/3,4.31,841,231,58,3,12,1,0,33,26,0,0,0,.278,45.45%,28,4.58,1.29,120,29,.242,2,144,100,44,2012,163.0
420,久本祐一,中,,4.50,0,0,0,6,5,8,6.75,145,38,8,1,5,1,1,4,4,0,0,0,.258,0.00%,0,0.00,1.50,0,0,.000,0,147,116,31,2012,24.0
421,小川龍也,中,,4.50,0,1,0,3,1,4,6.75,83,17,4,1,1,0,0,2,2,0,0,0,.250,0.00%,0,0.00,1.25,11,3,.273,0,143,109,34,2012,12.0
422,小笠原孝,中,,5.30,0,2,0,14,7,182/3,6.75,356,85,24,1,4,2,0,13,11,0,0,0,.308,50.00%,6,3.18,1.50,45,16,.356,0,146,102,44,2012,56.0
423,鈴木義広,中,,5.63,0,0,0,4,9,8,4.50,138,37,8,0,5,0,1,5,5,0,0,0,.258,0.00%,0,0.00,1.50,0,0,.000,0,140,123,17,2012,24.0
424,髙橋聡文,中,,6.55,0,0,0,7,11,11,5.73,160,49,11,2,6,2,0,8,8,0,0,0,.282,0.00%,0,0.00,1.55,0,0,.000,0,150,99,51,2012,33.0
425,ネルソン,中,,7.15,0,1,0,8,6,111/3,6.35,215,54,14,1,7,0,0,10,9,0,0,0,.318,0.00%,1,1.80,1.85,25,8,.320,1,151,117,34,2012,34.0
426,朝倉健太,中,,7.59,0,0,0,13,16,211/3,5.48,314,93,26,3,6,1,0,18,18,0,0,0,.313,0.00%,0,0.00,1.50,0,0,.000,0,146,113,33,2012,64.0
427,平井正史,中,,11.57,0,1,0,3,2,21/3,11.57,57,14,5,0,1,1,0,3,3,0,0,0,.417,0.00%,0,0.00,2.57,12,5,.417,0,146,128,18,2012,7.0
428,小熊凌祐,中,,13.50,0,0,0,1,1,2,4.50,50,12,2,0,4,0,0,3,3,0,0,0,.250,0.00%,0,0.00,3.00,0,0,.000,0,145,110,35,2012,6.0
429,浅尾拓也,中,,1.47,2,3,1,19,34,302/3,5.58,503,131,26,2,14,1,1,6,5,0,0,0,.232,0.00%,0,0.00,1.27,71,16,.225,2,150,113,37,2013,92.0
430,三瀬幸司,中,,1.77,1,0,0,14,20,201/3,6.20,310,78,15,2,5,0,0,4,4,0,0,0,.217,0.00%,0,0.00,0.98,19,4,.211,0,145,120,25,2013,61.0
431,岩瀬仁紀,中,,1.86,2,3,36,37,55,531/3,6.24,860,227,48,2,19,1,5,16,11,0,0,0,.241,0.00%,0,0.00,1.16,127,33,.260,1,145,121,24,2013,160.0
432,小熊凌祐,中,○,2.30,1,0,0,19,28,271/3,6.26,390,103,21,2,2,2,0,7,7,0,0,0,.221,0.00%,0,0.00,0.84,6,1,.167,0,148,95,53,2013,82.0
433,雄太,中,,2.57,1,0,0,5,3,14,3.21,197,55,9,1,4,0,0,4,4,0,0,0,.180,50.00%,5,3.75,0.93,34,5,.147,0,141,99,42,2013,42.0
434,岡田俊哉,中,○,2.79,7,5,2,67,66,87,6.93,1417,362,67,6,37,2,0,27,27,0,0,0,.218,66.67%,2,1.06,1.20,124,24,.194,0,147,115,32,2013,261.0
435,カブレラ,中,,3.09,6,5,0,98,20,1162/3,7.56,1928,492,109,6,36,6,1,48,40,0,0,0,.247,60.00%,47,3.44,1.23,287,65,.226,6,153,115,38,2013,350.0
436,川上憲伸,中,,3.21,1,1,0,12,5,28,3.86,460,119,26,3,13,0,1,11,10,0,0,0,.248,60.00%,12,3.60,1.36,49,14,.286,2,146,103,43,2013,84.0
437,マドリガル,中,,3.23,2,0,0,28,31,39,6.46,696,168,34,6,18,1,1,16,14,0,0,0,.236,0.00%,0,0.00,1.31,62,11,.177,1,151,123,28,2013,117.0
438,中田賢一,中,,3.40,4,6,0,83,40,98,7.62,1715,428,85,5,45,8,4,41,37,0,0,0,.238,54.55%,26,3.34,1.29,221,50,.226,3,150,111,39,2013,294.0
439,鈴木義広,中,,3.45,0,1,0,7,15,152/3,4.02,251,68,15,0,8,0,1,6,6,0,0,0,.254,0.00%,0,0.00,1.40,13,3,.231,0,139,124,15,2013,47.0
440,髙橋聡文,中,,3.51,2,2,0,29,29,252/3,10.17,392,112,24,2,11,1,1,13,10,0,0,0,.250,0.00%,0,0.00,1.32,26,7,.269,2,149,113,36,2013,77.0
441,ブラッドリー,中,,3.71,2,2,0,22,14,531/3,3.71,829,233,61,4,16,2,2,24,22,0,0,0,.298,27.27%,14,2.29,1.41,112,37,.330,0,150,124,26,2013,160.0
442,武藤祐太,中,○,3.73,2,2,0,50,58,70,6.43,1125,306,70,7,29,1,0,33,29,0,0,0,.266,0.00%,0,0.00,1.41,54,16,.296,3,151,121,30,2013,210.0
443,大野雄大,中,○,3.81,10,10,0,117,25,1461/3,7.20,2450,624,151,12,43,5,1,65,62,1,0,1,.272,48.00%,69,3.93,1.32,281,71,.253,4,151,117,34,2013,439.0
444,矢地健人,中,○,3.86,0,0,0,9,9,112/3,6.94,165,45,9,2,1,1,0,5,5,0,0,0,.214,0.00%,0,0.00,0.86,13,3,.231,0,146,118,28,2013,35.0
445,小林正人,中,,4.11,0,0,0,7,33,151/3,4.11,249,67,18,0,3,1,0,7,7,0,0,0,.300,0.00%,0,0.00,1.37,6,2,.333,0,132,113,19,2013,46.0
446,山井大介,中,○,4.15,5,6,0,63,23,972/3,5.81,1614,434,105,11,44,4,4,48,45,1,1,0,.281,62.50%,48,4.41,1.48,202,65,.322,6,149,101,48,2013,293.0
447,山本昌,中,○,4.46,5,2,0,39,16,702/3,4.97,1233,314,80,6,28,1,2,37,35,0,0,0,.297,25.00%,36,4.32,1.50,138,45,.326,3,139,97,42,2013,212.0
448,井上公志,中,,4.50,1,1,0,11,11,12,8.25,227,57,17,1,5,2,1,6,6,0,0,0,.354,0.00%,0,0.00,1.75,4,3,.750,0,145,120,25,2013,36.0
449,辻孟彦,中,,4.58,0,0,0,15,13,192/3,6.86,347,83,20,1,8,0,0,10,10,0,0,0,.270,0.00%,1,1.80,1.42,7,3,.429,0,147,115,32,2013,59.0
450,吉見一起,中,,4.71,1,4,0,29,6,361/3,7.18,543,157,40,5,10,0,3,19,19,0,0,0,.284,50.00%,19,4.38,1.29,68,18,.265,3,147,124,23,2013,109.0
451,田島慎二,中,○,4.76,5,10,0,60,50,641/3,8.39,1153,286,66,3,32,4,3,37,34,0,0,0,.272,50.00%,4,3.27,1.48,124,36,.290,1,153,115,38,2013,193.0
452,山内壮馬,中,,5.54,2,4,0,22,9,501/3,3.93,851,234,68,8,24,1,2,34,31,0,0,0,.329,44.44%,27,4.50,1.79,70,30,.429,5,141,95,46,2013,151.0
453,岩田慎司,中,,5.61,1,2,0,14,5,252/3,4.91,448,113,33,2,3,2,0,17,16,0,0,0,.324,20.00%,7,2.33,1.40,74,23,.311,1,141,87,54,2013,77.0
454,小川龍也,中,○,6.00,0,0,0,0,1,3,0.00,41,14,3,1,2,1,0,2,2,0,0,0,.300,0.00%,5,11.25,1.67,6,1,.167,0,141,110,31,2013,9.0
455,西川健太郎,中,○,6.26,1,6,0,27,12,46,5.28,806,207,50,8,19,0,0,35,32,0,0,0,.278,22.22%,11,2.15,1.50,108,23,.213,3,143,101,42,2013,138.0
456,福谷浩司,中,,7.36,0,1,0,4,9,71/3,4.91,138,36,8,1,7,0,1,6,6,0,0,0,.286,0.00%,0,0.00,1.91,11,5,.455,0,152,108,44,2013,22.0
457,川崎貴弘,中,○,9.00,0,0,0,1,1,1,9.00,21,6,1,0,2,0,0,1,1,0,0,0,.250,0.00%,0,0.00,3.00,0,0,.000,0,142,121,21,2013,3.0
458,朝倉健太,中,,9.72,0,1,0,6,3,81/3,6.48,187,44,15,1,5,0,0,10,9,0,0,0,.405,0.00%,7,7.00,2.40,27,11,.407,1,145,111,34,2013,25.0
459,清水昭信,中,,10.80,0,0,0,2,4,31/3,5.40,65,17,3,0,2,3,0,4,4,0,0,0,.300,0.00%,0,0.00,1.50,0,0,.000,0,141,121,20,2013,10.0
460,三瀬幸司,中,○,0.00,0,0,0,1,1,01/3,27.00,9,1,0,0,0,0,0,0,0,0,0,0,.000,0.00%,0,0.00,0.00,0,0,.000,0,137,125,12,2014,1.0
461,福谷浩司,中,○,1.81,2,4,11,72,72,742/3,8.68,1185,298,54,2,26,1,0,15,15,0,0,0,.206,0.00%,0,0.00,1.07,123,29,.236,0,157,117,40,2014,224.0
462,又吉克樹,中,○,2.21,9,1,2,104,67,811/3,11.51,1351,321,50,3,28,4,0,20,20,0,0,0,.178,0.00%,0,0.00,0.96,109,17,.156,2,151,107,44,2014,244.0
463,髙橋聡文,中,,2.37,0,0,0,19,22,19,9.00,312,81,17,0,7,0,0,5,5,0,0,0,.246,0.00%,0,0.00,1.26,17,6,.353,0,148,120,28,2014,57.0
464,パヤノ,中,,2.59,0,2,0,26,23,241/3,9.62,453,104,14,2,16,4,0,8,7,0,0,0,.173,0.00%,0,0.00,1.23,9,2,.222,1,151,121,30,2014,73.0
465,大野雄大,中,,2.89,10,8,0,119,25,165,6.49,2573,682,156,14,47,6,0,60,53,3,1,1,.255,64.00%,72,3.64,1.23,322,85,.264,8,151,113,38,2014,495.0
466,雄太,中,,3.21,6,7,0,47,19,101,4.19,1650,421,105,8,24,2,0,43,36,1,1,1,.271,44.44%,35,2.94,1.28,235,65,.277,4,143,98,45,2014,303.0
467,山井大介,中,○,3.21,13,5,0,103,27,1732/3,5.34,2804,716,156,13,66,4,1,64,62,1,1,0,.251,70.37%,94,4.57,1.27,308,72,.234,5,146,90,56,2014,521.0
468,岩瀬仁紀,中,,3.52,1,2,20,18,34,302/3,5.28,504,134,37,1,10,0,2,12,12,0,0,0,.311,0.00%,0,0.00,1.47,65,16,.246,0,144,124,20,2014,92.0
469,祖父江大輔,中,,3.53,0,3,0,36,54,582/3,5.52,929,240,52,6,19,1,1,25,23,0,0,0,.245,0.00%,0,0.00,1.19,59,17,.288,1,150,119,31,2014,176.0
470,武藤祐太,中,○,3.60,1,1,0,18,15,25,6.48,382,101,18,2,9,2,0,10,10,0,0,0,.214,0.00%,3,4.50,1.08,5,2,.400,0,149,123,26,2014,75.0
471,小川龍也,中,,3.65,0,1,0,5,7,121/3,3.65,238,60,11,1,12,0,0,9,5,0,0,0,.250,0.00%,2,4.50,1.86,13,5,.385,1,142,97,45,2014,37.0
